                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1032,                 1.2189,                 1.5052,                0.75329,                0.59377,                 0.6602,                0.28914,                  2.064,                 1.2031,                 1.6184,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0794,                 1.2725,                 1.5349,                0.75992,                0.57907,                0.67575,                0.29786,                 1.9465,                 1.1981,                 1.5717,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0891,                 1.3964,                 1.5232,                 0.6948,                0.58377,                0.61614,                 0.2763,                 2.0434,                 1.2063,                 1.6317,               0.001307,               0.001307,               0.001307
                     38,                 2.0697,                  1.213,                 1.5179,                0.78772,                0.59436,                0.69475,                0.31059,                 1.9615,                 1.1704,                 1.5641,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0935,                 1.2169,                  1.522,                0.74881,                0.57848,                0.66803,                0.29572,                 1.9879,                  1.212,                 1.5917,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0456,                 1.1988,                 1.5254,                0.73864,                0.59148,                0.66933,                0.30136,                 1.9793,                 1.2002,                  1.579,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0355,                 1.1794,                 1.4924,                0.74876,                0.58554,                0.64522,                0.27912,                 2.0496,                 1.1904,                 1.6243,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0712,                 1.1904,                 1.4804,                0.70281,                0.57378,                0.62475,                0.27815,                 2.0397,                  1.221,                 1.6181,               0.001208,               0.001208,               0.001208
                     43,                 2.0853,                 1.2773,                 1.5375,                0.71568,                0.57143,                0.66265,                 0.2975,                 1.9503,                 1.2192,                 1.5757,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0634,                 1.1904,                 1.5093,                0.75006,                0.63316,                0.70594,                0.30734,                 1.9833,                 1.1646,                 1.5734,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0739,                 1.1663,                 1.4865,                0.76959,                 0.6067,                0.68361,                0.31349,                 1.9169,                 1.1851,                 1.5534,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0289,                 1.1671,                 1.4795,                0.78305,                0.58352,                0.67897,                0.29858,                 2.0045,                 1.1872,                 1.5878,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0715,                 1.1926,                 1.5232,                0.76372,                0.61317,                0.70215,                 0.3125,                 1.9575,                 1.1437,                 1.5636,               0.001109,               0.001109,               0.001109
                     48,                  2.035,                 1.1575,                 1.4782,                0.74571,                0.58444,                0.65847,                 0.2892,                 2.0106,                 1.1703,                 1.5929,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.0034,                 1.1353,                 1.4658,                0.74587,                0.60494,                0.66617,                0.30438,                 1.9661,                  1.164,                 1.5746,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0498,                 1.1431,                 1.4631,                 0.7552,                0.61611,                0.67438,                0.29305,                 1.9815,                 1.1926,                 1.5789,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.0158,                 1.1335,                 1.4663,                  0.799,                0.57255,                0.65832,                 0.2957,                 1.9968,                 1.1998,                 1.5867,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0295,                 1.1439,                 1.4745,                0.77572,                0.61258,                0.69389,                0.31571,                  1.966,                 1.1207,                 1.5683,                0.00101,                0.00101,                0.00101
                     53,                 2.0104,                 1.1261,                  1.459,                0.77307,                 0.5928,                0.67032,                0.30711,                 1.9713,                 1.1855,                 1.5827,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.987,                 1.1086,                 1.4757,                0.76342,                0.62199,                 0.6975,                0.31957,                 1.9305,                 1.1435,                 1.5468,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9959,                 1.1023,                  1.454,                0.78041,                0.56413,                0.64992,                0.29842,                 1.9531,                 1.1865,                 1.5701,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9939,                 1.1156,                 1.4756,                0.74595,                0.60788,                0.65806,                0.29686,                 2.0016,                 1.1485,                 1.5939,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9603,                  1.106,                 1.4562,                 0.7884,                0.58266,                0.67353,                 0.3046,                 1.9798,                  1.193,                 1.5809,               0.000911,               0.000911,               0.000911
                     58,                   1.96,                  1.093,                 1.4428,                0.77258,                0.60788,                0.68983,                0.31996,                 1.9268,                 1.1145,                 1.5471,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9957,                 1.1202,                  1.464,                0.69766,                0.62199,                 0.6567,                0.30753,                 1.9083,                 1.1242,                 1.5503,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9691,                 1.1119,                 1.4694,                0.75486,                0.60283,                0.68288,                0.31257,                 1.9253,                 1.1569,                  1.549,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9728,                 1.0973,                 1.4301,                 0.7755,                 0.6361,                0.70373,                0.32007,                 1.9438,                  1.124,                 1.5592,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9964,                 1.3496,                 1.4555,                0.77537,                0.61905,                 0.6932,                 0.3129,                 1.9422,                 1.1086,                 1.5683,               0.000812,               0.000812,               0.000812
                     63,                 1.9899,                 1.1275,                 1.4406,                0.76752,                 0.5679,                0.64625,                0.29831,                 1.9338,                 1.2272,                 1.5729,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.9374,                 1.4523,                 1.4013,                0.76353,                0.60932,                0.68088,                0.31225,                 1.9298,                  1.124,                 1.5499,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.9667,                 1.0914,                 1.4463,                0.78145,                0.60259,                0.68504,                0.31712,                  1.921,                 1.1572,                 1.5385,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.9418,                 1.0711,                 1.4486,                0.78898,                0.62257,                0.70873,                0.32874,                 1.9221,                 1.1055,                  1.548,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9853,                 1.0963,                  1.458,                 0.7893,                0.59612,                0.68472,                0.31811,                 1.9253,                 1.1274,                 1.5423,               0.000713,               0.000713,               0.000713
                     68,                   1.95,                 1.0866,                 1.4416,                0.75646,                0.58495,                0.65951,                0.31128,                 1.9251,                 1.1675,                 1.5394,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.9575,                  1.073,                 1.4332,                0.76555,                0.64374,                0.71548,                0.32577,                 1.9085,                 1.0942,                 1.5296,              0.0006734,              0.0006734,              0.0006734
                     70,                   1.94,                 1.0743,                 1.4105,                0.75671,                0.59428,                0.65629,                0.30526,                 1.9567,                 1.1487,                 1.5693,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9782,                 1.0875,                 1.4151,                0.74858,                0.56614,                0.63724,                0.28978,                 1.9621,                 1.1841,                 1.5796,              0.0006338,              0.0006338,              0.0006338
