                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0366,                 1.2154,                 1.5844,                0.72934,                0.63081,                0.68602,                0.29211,                  2.036,                 1.2095,                 1.5954,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.1116,                 1.2399,                 1.5997,                0.74044,                 0.5726,                0.65012,                 0.2837,                 2.0332,                 1.3129,                 1.5969,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0975,                 1.2086,                 1.5132,                0.68748,                0.57848,                0.61612,                0.27895,                 2.0116,                 1.2645,                  1.594,               0.001307,               0.001307,               0.001307
                     38,                 2.0692,                 1.2953,                 1.6324,                0.71889,                0.60611,                0.66268,                0.29471,                  1.954,                 1.2662,                 1.5522,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0753,                 1.2103,                 1.5529,                0.73959,                0.61141,                0.68443,                0.29349,                 2.0163,                  1.232,                 1.5786,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0455,                 1.1675,                  1.585,                0.73006,                0.55203,                0.62529,                0.28345,                 2.0642,                 1.3169,                 1.6024,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0524,                 1.1555,                 1.5685,                0.70946,                0.64374,                0.68564,                0.30342,                 1.9918,                 1.1461,                 1.5699,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0759,                 1.1849,                 1.5411,                0.70731,                0.59436,                0.65999,                0.28879,                 2.0317,                  1.251,                 1.5906,               0.001208,               0.001208,               0.001208
                     43,                  2.097,                 1.2154,                 1.5385,                0.71238,                0.54894,                0.62202,                0.28207,                 2.0036,                 1.2931,                 1.5954,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0399,                 1.1683,                  1.523,                0.71426,                0.59958,                0.67485,                0.29239,                 1.9876,                 1.2226,                 1.5673,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0479,                 1.1779,                 1.5454,                0.69615,                0.59937,                0.65446,                0.29938,                 1.9398,                  1.201,                 1.5552,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0491,                 1.2013,                 1.5576,                0.64501,                0.54321,                0.56627,                0.25624,                 2.0823,                 1.2596,                 1.6426,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0694,                 1.1715,                 1.5367,                0.70634,                0.53026,                0.61056,                0.27579,                 2.0194,                 1.3224,                 1.5886,               0.001109,               0.001109,               0.001109
                     48,                 2.0115,                 1.1424,                 1.5195,                0.72269,                0.63492,                0.69011,                0.30725,                 1.9523,                 1.1734,                 1.5421,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9416,                 1.1204,                 1.5621,                0.76519,                0.57857,                0.67007,                0.30354,                 1.9722,                 1.2696,                 1.5661,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.9463,                 1.1286,                 1.5342,                0.76461,                0.60728,                0.69335,                0.31196,                 1.9627,                 1.2028,                 1.5437,              0.0010496,              0.0010496,              0.0010496
                     51,                  2.025,                 1.1364,                  1.508,                0.75223,                0.60148,                0.68364,                0.30908,                 1.9785,                 1.2061,                 1.5683,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0198,                 1.1216,                 1.4954,                0.75939,                0.63668,                0.70655,                0.31746,                 1.9744,                 1.1533,                 1.5487,                0.00101,                0.00101,                0.00101
                     53,                 1.9894,                 1.1156,                 1.4875,                0.75389,                0.60148,                0.67003,                0.30649,                 1.9777,                 1.1882,                 1.5641,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9704,                 1.1898,                  1.564,                0.75202,                0.61728,                0.69163,                 0.3095,                 1.9795,                 1.1582,                 1.5673,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9716,                 1.1317,                 1.5634,                0.77081,                0.57084,                0.66106,                0.29871,                 1.9941,                 1.2251,                  1.573,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.0032,                 1.1115,                 1.4993,                0.72564,                0.60317,                0.66887,                0.30441,                 1.9678,                 1.1656,                 1.5594,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9863,                 1.0825,                 1.5251,                0.75053,                0.60259,                0.67851,                  0.311,                 1.9565,                 1.1682,                 1.5588,               0.000911,               0.000911,               0.000911
                     58,                 1.9824,                 1.1291,                 1.5496,                0.76236,                0.60905,                0.69416,                 0.3078,                 1.9912,                  1.226,                 1.5738,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9874,                 1.0933,                 1.4569,                 0.7434,                0.59847,                0.67788,                0.30575,                 1.9553,                 1.2223,                 1.5557,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.0211,                 1.0823,                 1.4896,                0.73781,                0.59318,                0.65423,                0.29245,                 2.0227,                 1.1961,                  1.599,              0.0008516,              0.0008516,              0.0008516
                     61,                      2,                 1.1138,                 1.5123,                0.77096,                 0.5996,                0.68275,                0.30771,                 1.9596,                 1.2223,                 1.5547,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.0281,                  1.167,                  1.612,                0.77108,                0.59788,                0.69694,                0.30981,                 1.9534,                 1.1765,                  1.549,               0.000812,               0.000812,               0.000812
                     63,                 1.9683,                  1.088,                 1.4625,                0.78388,                0.63022,                0.72321,                0.32697,                  1.961,                 1.1275,                 1.5547,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.9056,                 1.0654,                 1.4793,                0.75772,                0.63904,                0.69741,                0.31502,                 1.9686,                 1.1263,                 1.5627,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.9093,                 1.0422,                  1.493,                0.76949,                0.61427,                0.68747,                0.30382,                 1.9915,                  1.164,                 1.5667,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.999,                  1.102,                 1.5338,                 0.7599,                0.62145,                 0.6817,                0.30672,                 1.9997,                 1.1356,                 1.5701,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9336,                 1.0583,                 1.4875,                0.76319,                0.56649,                  0.652,                0.29798,                 1.9985,                 1.2489,                 1.5845,               0.000713,               0.000713,               0.000713
                     68,                 1.9243,                 1.0526,                 1.4745,                0.78399,                0.57848,                0.67036,                0.30751,                 1.9854,                 1.2381,                 1.5654,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.9029,                 1.0479,                 1.4888,                0.77399,                0.59259,                0.67821,                0.30735,                 1.9874,                 1.1504,                 1.5747,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.0127,                 1.0673,                 1.4768,                0.75591,                0.60788,                0.69352,                0.31759,                 1.9709,                 1.1989,                 1.5592,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9405,                 1.0472,                 1.4679,                0.77768,                0.60788,                0.68623,                0.31306,                 1.9478,                 1.1677,                 1.5526,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.8963,                  1.012,                  1.462,                0.79578,                0.59847,                0.68723,                0.30591,                 2.0015,                 1.1334,                 1.5799,               0.000614,               0.000614,               0.000614
                     73,                 1.9707,                 1.0564,                  1.452,                0.79263,                0.60673,                0.70997,                0.31946,                 1.9504,                 1.1568,                 1.5483,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9563,                 1.0421,                 1.5333,                0.76249,                0.61199,                0.69193,                0.31452,                  1.959,                 1.1654,                 1.5665,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.961,                 1.0501,                 1.4661,                0.74844,                0.63962,                0.71013,                0.31603,                 1.9877,                 1.1418,                 1.5674,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.0034,                 1.0793,                 1.4679,                0.77066,                0.58907,                0.68615,                0.31247,                 1.9674,                 1.1549,                 1.5666,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.8572,                 1.0267,                 1.4682,                0.77374,                 0.6167,                0.68687,                0.31203,                 1.9752,                 1.1015,                 1.5691,               0.000515,               0.000515,               0.000515
                     78,                  1.898,                 1.0278,                 1.4357,                 0.7573,                0.62669,                0.69835,                0.31705,                 1.9819,                  1.122,                 1.5634,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.9392,                 1.0122,                 1.4604,                0.76928,                0.59983,                0.68183,                0.31407,                 1.9777,                 1.1758,                 1.5712,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.8513,                0.97545,                 1.4556,                0.76208,                0.62434,                0.69238,                0.31304,                 1.9922,                 1.1255,                 1.5773,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.9472,                 1.0193,                 1.4785,                 0.7464,                0.61493,                0.67635,                  0.307,                 2.0277,                 1.1164,                 1.5939,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8304,                0.97981,                 1.4515,                0.77255,                0.63727,                0.71753,                0.32551,                 1.9608,                 1.0846,                 1.5625,               0.000416,               0.000416,               0.000416
                     83,                 1.9016,                 1.0146,                 1.4366,                0.74913,                0.62081,                0.68641,                0.31265,                 1.9828,                 1.1422,                 1.5684,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.9419,                  1.012,                 1.4444,                0.77561,                0.60788,                0.69558,                0.31681,                  1.977,                 1.1528,                 1.5667,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.8516,                 0.9798,                 1.4346,                0.76976,                0.59671,                0.68342,                0.31353,                 1.9754,                 1.1625,                 1.5669,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.8563,                0.98754,                 1.4636,                 0.7893,                0.59462,                0.68604,                 0.3113,                 1.9956,                 1.1484,                 1.5801,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.9401,                 1.0025,                 1.4918,                 0.7839,                0.59377,                0.69425,                0.31713,                 1.9643,                 1.1582,                 1.5644,               0.000317,               0.000317,               0.000317
                     88,                  1.962,                 1.0232,                 1.4291,                0.77114,                0.61905,                0.70043,                0.31907,                 1.9815,                 1.1069,                 1.5765,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.8779,                0.97512,                 1.4178,                0.77141,                0.62669,                0.70613,                0.32261,                 1.9832,                 1.1228,                 1.5685,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.8111,                0.93525,                 1.4242,                0.76648,                0.59847,                0.68242,                0.31321,                 1.9964,                 1.1496,                 1.5787,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.8522,                0.95401,                 1.4154,                0.78498,                0.61813,                0.70581,                0.32584,                 1.9674,                 1.1211,                 1.5655,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.9019,                 1.0236,                 1.4596,                0.78068,                0.62845,                0.71323,                0.32476,                 1.9552,                 1.1052,                 1.5505,               0.000218,               0.000218,               0.000218
                     93,                  1.904,                0.98339,                 1.4114,                0.79237,                0.60082,                0.69136,                 0.3177,                 1.9812,                 1.1285,                 1.5718,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.8785,                0.99121,                 1.4287,                0.78267,                0.60024,                0.69592,                0.32075,                 1.9652,                 1.1592,                 1.5641,              0.0001784,              0.0001784,              0.0001784
                     95,                    1.8,                0.95012,                 1.4162,                0.78032,                 0.6035,                0.68633,                0.31548,                 1.9852,                 1.1517,                 1.5811,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8572,                0.98371,                 1.4384,                0.77693,                0.60813,                0.69388,                0.31823,                 1.9894,                  1.151,                   1.58,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.8605,                0.95999,                 1.4263,                0.80615,                0.60729,                0.70762,                0.32329,                 1.9576,                 1.1248,                 1.5643,               0.000119,               0.000119,               0.000119
                     98,                 1.8721,                0.98411,                 1.4007,                0.78416,                0.60871,                 0.6981,                0.31925,                 1.9833,                 1.1013,                 1.5788,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8098,                 1.0143,                 1.4411,                0.79125,                0.61058,                0.70179,                0.32266,                 1.9701,                 1.1124,                 1.5706,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7599,                0.99119,                 1.4369,                0.80116,                0.61728,                0.70964,                0.32697,                 1.9598,                 1.1028,                 1.5638,               5.96e-05,               5.96e-05,               5.96e-05
